질문,정답,설명,태그,유형
110번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.","해설 110: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.
오답 원인: 개념 혼동 / 조건 누락 / 계산 실수 중 하나를 표시합니다.",한국사 근현대,문답
111번: 핵심 개념의 정의를 한 문장으로 설명하세요.,111번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 111: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,문답
112번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 112: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,빈칸
"자료 113, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 113: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,국어 문학,문답
"114번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 114: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,수학 함수,빈칸
115번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 115: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 생명,문답
116번: 핵심 개념의 정의를 한 문장으로 설명하세요.,116번 모범 답안: 핵심어와 개념 사이의 관계가 드러나도록 설명합니다.,해설 116: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,과학 물리,문답
117번 빈칸: 학습은 {{이해}}와 {{반복}}을 함께 할 때 효과적이다.,두 요소가 어떻게 연결되는지도 말해 보세요.,해설 117: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,사회 경제,빈칸
"자료 118, 다음 상황에서 가장 먼저 확인할 것은 무엇인가요?
조건 A: 자료가 충분함
조건 B: 서로 다른 해석이 가능함","자료의 출처와 조건을 확인하고, 주장과 근거를 구분합니다.",해설 118: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,한국사 근현대,문답
"119번 공식: 전체 = {{부분의 합}}, 평균 = {{합계 ÷ 개수}}",단위와 자료의 범위도 함께 확인합니다.,해설 119: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,정보 알고리즘,빈칸
120번 비교 문제: 원인과 결과의 차이를 쓰세요.,"원인은 현상이 일어나게 한 조건이고, 결과는 그 뒤에 나타난 변화입니다.",해설 120: 정답을 확인한 뒤 자신의 말로 다시 설명해 보세요.,통합교과 서술형,문답
